origin_group,year,compartment,count_proj,count_obs,error,ape
Continental Europe,2019,P_A,1.0,1,0.0,0.0
Sinic,2019,D,8.483821189973385,8,0.4838211899733853,0.05375790999704281
Sinic,2019,A,0.24069751260751052,1,-0.7593024873924895,0.37965124369624476
Sinic,2019,H_D,22.886434669211866,20,2.886434669211866,0.1374492699624698
Sinic,2019,H_A,1.854693409928414,2,-0.14530659007158597,0.04843553002386199
Sinic,2019,P_D,8.471853218278822,8,0.471853218278822,0.05242813536431355
Sinic,2019,P_A,0.0,1,-1.0,0.5
Japanese,2019,D,3.522697250256499,5,-1.477302749743501,0.24621712495725015
Japanese,2019,H_D,9.922887463078476,9,0.9228874630784762,0.09228874630784763
Japanese,2019,H_A,0.8339156140823033,2,-1.1660843859176966,0.38869479530589884
Japanese,2019,P_D,9.041528648773918,6,3.0415286487739177,0.43450409268198825
Hindu,2019,D,4.123031770733227,6,-1.8769682292667733,0.2681383184666819
Hindu,2019,H_D,14.222700583141982,14,0.22270058314198238,0.014846705542798825
Hindu,2019,P_D,7.757971349828489,4,3.7579713498284892,0.7515942699656979
Hindu,2019,P_A,0.2962962962962964,2,-1.7037037037037037,0.5679012345679012
Islamic,2019,D,6.500677060967124,7,-0.4993229390328757,0.062415367379109465
Islamic,2019,A,0.8686343170814868,1,-0.13136568291851325,0.06568284145925662
Islamic,2019,H_D,13.597913719072992,9,4.5979137190729915,0.45979137190729913
Islamic,2019,H_A,0.8686343170814868,2,-1.1313656829185132,0.3771218943061711
Islamic,2019,P_D,0.0,1,-1.0,0.5
Other Western,2019,D,0.9411818689390176,1,-0.05881813106098244,0.02940906553049122
Other Western,2019,H_D,14.527953933530117,12,2.5279539335301173,0.1944579948869321
Other Western,2019,P_D,0.0,2,-2.0,0.6666666666666666
Other Civilizations,2019,D,2.4565274814362534,6,-3.5434725185637466,0.506210359794821
Other Civilizations,2019,H_D,9.59132555258051,7,2.5913255525805106,0.3239156940725638
Other Civilizations,2019,H_A,0.28819957925662465,1,-0.7118004207433754,0.3559002103716877
Other Civilizations,2019,P_D,8.099503074652993,5,3.0995030746529935,0.5165838457754989
United States,2020,D,0.547517739455508,1,-0.45248226054449203,0.22624113027224602
United States,2020,A,1.0568909474056574,2,-0.9431090525943426,0.31436968419811423
United States,2020,H_D,26.34215550789598,17,9.342155507895981,0.5190086393275545
United States,2020,H_A,2.968937760703302,6,-3.031062239296698,0.4330088913280997
United States,2020,P_D,12.225679071225263,14,-1.7743209287747366,0.11828806191831577
United States,2020,P_A,3.21350846996355,4,-0.7864915300364501,0.15729830600729003
Anglosphere ex-US,2020,D,1.6868553476704395,2,-0.31314465232956046,0.10438155077652016
Anglosphere ex-US,2020,H_D,8.773316399973966,10,-1.2266836000260337,0.1115166909114576
Anglosphere ex-US,2020,H_A,2.2630010624773202,4,-1.7369989375226798,0.34739978750453593
Anglosphere ex-US,2020,P_D,10.462905175432516,6,4.462905175432516,0.6375578822046452
Anglosphere ex-US,2020,P_A,5.158437309374276,4,1.1584373093742757,0.23168746187485514
Continental Europe,2020,D,2.8309284421335184,7,-4.169071557866482,0.5211339447333102
Continental Europe,2020,A,3.4954357476260896,1,2.4954357476260896,1.2477178738130448
Continental Europe,2020,H_D,20.97517145622875,19,1.9751714562287503,0.09875857281143752
Continental Europe,2020,H_A,2.0,3,-1.0,0.25
Continental Europe,2020,P_D,17.966514301459437,12,5.966514301459437,0.4589626385738029
Continental Europe,2020,P_A,1.0,4,-3.0,0.6
Sinic,2020,D,7.538717649929972,8,-0.4612823500700278,0.05125359445222531
Sinic,2020,A,0.18857964946107877,1,-0.8114203505389213,0.4057101752694606
Sinic,2020,H_D,22.237794799689187,18,4.237794799689187,0.22304183156258878
Sinic,2020,H_A,1.7324697127125868,3,-1.2675302872874132,0.3168825718218533
Sinic,2020,P_D,10.552438188207173,9,1.552438188207173,0.1552438188207173
Sinic,2020,P_A,0.0,1,-1.0,0.5
