origin_group,year,compartment,inflow
Japanese,2001,H_D,162
Japanese,2001,P_A,39
Japanese,2001,P_D,748
Japanese,2002,A,97
Japanese,2002,D,2214
Japanese,2002,H_A,13
Japanese,2002,H_D,293
Japanese,2002,P_A,81
Japanese,2002,P_D,1446
Japanese,2003,A,49
Japanese,2003,D,1319
Japanese,2003,H_A,6
Japanese,2003,H_D,163
Japanese,2003,P_A,25
Japanese,2003,P_D,623
Japanese,2004,A,43
Japanese,2004,D,1021
Japanese,2004,H_A,8
Japanese,2004,H_D,164
Japanese,2004,P_A,33
Japanese,2004,P_D,431
Japanese,2005,A,53
Japanese,2005,D,1211
Japanese,2005,H_A,15
Japanese,2005,H_D,172
Japanese,2005,P_A,31
Japanese,2005,P_D,549
Japanese,2006,A,56
Japanese,2006,D,1176
Japanese,2006,H_A,10
Japanese,2006,H_D,191
Japanese,2006,P_A,31
Japanese,2006,P_D,463
Japanese,2007,A,49
Japanese,2007,D,1139
Japanese,2007,H_A,18
Japanese,2007,H_D,198
Japanese,2007,P_A,28
Japanese,2007,P_D,450
Japanese,2008,A,54
Japanese,2008,D,1140
Japanese,2008,H_A,17
Japanese,2008,H_D,207
Japanese,2008,P_A,19
Japanese,2008,P_D,422
Japanese,2009,A,33
Japanese,2009,D,1050
Japanese,2009,H_A,12
Japanese,2009,H_D,165
Japanese,2009,P_A,24
Japanese,2009,P_D,326
Japanese,2010,A,35
Japanese,2010,D,979
Japanese,2010,H_A,8
Japanese,2010,H_D,128
Japanese,2010,P_A,23
Japanese,2010,P_D,331
Japanese,2011,A,31
Japanese,2011,D,1003
Japanese,2011,H_A,11
Japanese,2011,H_D,191
Japanese,2011,P_A,20
Japanese,2011,P_D,299
Japanese,2012,A,36
Japanese,2012,D,1020
Japanese,2012,H_A,14
Japanese,2012,H_D,154
Japanese,2012,P_A,13
Japanese,2012,P_D,363
Japanese,2013,A,39
Japanese,2013,D,957
Japanese,2013,H_A,12
Japanese,2013,H_D,140
Japanese,2013,P_A,16
Japanese,2013,P_D,309
Japanese,2014,A,38
Japanese,2014,D,928
Japanese,2014,H_A,17
Japanese,2014,H_D,130
Japanese,2014,P_A,23
Japanese,2014,P_D,294
Japanese,2015,A,45
Japanese,2015,D,891
Japanese,2015,H_A,11
Japanese,2015,H_D,139
Japanese,2015,P_A,12
Japanese,2015,P_D,272
Japanese,2016,A,27
Japanese,2016,D,863
Japanese,2016,H_A,11
Japanese,2016,H_D,199
Japanese,2016,P_A,20
Japanese,2016,P_D,240
Other Civilizations,2000,A,57
Other Civilizations,2000,D,952
Other Civilizations,2000,H_A,23
Other Civilizations,2000,H_D,195
Other Civilizations,2000,P_A,94
Other Civilizations,2000,P_D,916
Other Civilizations,2001,A,20
Other Civilizations,2001,D,732
Other Civilizations,2001,H_A,15
Other Civilizations,2001,H_D,149
Other Civilizations,2001,P_A,29
Other Civilizations,2001,P_D,734
Other Civilizations,2002,A,55
Other Civilizations,2002,D,1264
Other Civilizations,2002,H_A,16
Other Civilizations,2002,H_D,168
Other Civilizations,2002,P_A,51
Other Civilizations,2002,P_D,1061
Other Civilizations,2003,A,32
Other Civilizations,2003,D,984
Other Civilizations,2003,H_A,13
Other Civilizations,2003,H_D,128
Other Civilizations,2003,P_A,32
Other Civilizations,2003,P_D,727
Other Civilizations,2004,A,39
Other Civilizations,2004,D,1019
Other Civilizations,2004,H_A,9
Other Civilizations,2004,H_D,167
Other Civilizations,2004,P_A,22
Other Civilizations,2004,P_D,761
Other Civilizations,2005,A,30
Other Civilizations,2005,D,1087
Other Civilizations,2005,H_A,13
Other Civilizations,2005,H_D,193
Other Civilizations,2005,P_A,30
Other Civilizations,2005,P_D,707
Other Civilizations,2006,A,42
Other Civilizations,2006,D,1367
Other Civilizations,2006,H_A,19
Other Civilizations,2006,H_D,247
Other Civilizations,2006,P_A,37
Other Civilizations,2006,P_D,912
Other Civilizations,2007,A,32
Other Civilizations,2007,D,1411
Other Civilizations,2007,H_A,17
Other Civilizations,2007,H_D,218
Other Civilizations,2007,P_A,32
Other Civilizations,2007,P_D,910
Other Civilizations,2008,A,57
Other Civilizations,2008,D,1437
Other Civilizations,2008,H_A,17
Other Civilizations,2008,H_D,235
Other Civilizations,2008,P_A,34
Other Civilizations,2008,P_D,846
Other Civilizations,2009,A,49
Other Civilizations,2009,D,1445
Other Civilizations,2009,H_A,18
Other Civilizations,2009,H_D,269
Other Civilizations,2009,P_A,40
Other Civilizations,2009,P_D,927
Other Civilizations,2010,A,65
Other Civilizations,2010,D,1598
Other Civilizations,2010,H_A,13
Other Civilizations,2010,H_D,269
Other Civilizations,2010,P_A,34
Other Civilizations,2010,P_D,907
Other Civilizations,2011,A,43
Other Civilizations,2011,D,1632
Other Civilizations,2011,H_A,15
Other Civilizations,2011,H_D,282
Other Civilizations,2011,P_A,27
Other Civilizations,2011,P_D,994
Other Civilizations,2012,A,49
Other Civilizations,2012,D,1849
Other Civilizations,2012,H_A,10
Other Civilizations,2012,H_D,314
Other Civilizations,2012,P_A,32
Other Civilizations,2012,P_D,1017
Other Civilizations,2013,A,59
Other Civilizations,2013,D,2041
Other Civilizations,2013,H_A,18
Other Civilizations,2013,H_D,376
Other Civilizations,2013,P_A,35
Other Civilizations,2013,P_D,1093
Other Civilizations,2014,A,69
Other Civilizations,2014,D,2240
Other Civilizations,2014,H_A,26
Other Civilizations,2014,H_D,366
Other Civilizations,2014,P_A,53
Other Civilizations,2014,P_D,1315
Other Civilizations,2015,A,58
Other Civilizations,2015,D,2336
Other Civilizations,2015,H_A,27
Other Civilizations,2015,H_D,494
Other Civilizations,2015,P_A,41
Other Civilizations,2015,P_D,1340
Other Civilizations,2016,A,51
Other Civilizations,2016,D,2373
Other Civilizations,2016,H_A,20
Other Civilizations,2016,H_D,615
Other Civilizations,2016,P_A,44
Other Civilizations,2016,P_D,1339
Other Western,2000,A,14
Other Western,2000,D,120
Other Western,2000,H_A,15
Other Western,2000,H_D,71
Other Western,2000,P_A,28
Other Western,2000,P_D,198
Other Western,2001,A,12
Other Western,2001,D,85
Other Western,2001,H_A,8
Other Western,2001,H_D,32
Other Western,2001,P_A,13
Other Western,2001,P_D,110
Other Western,2002,A,10
Other Western,2002,D,123
Other Western,2002,H_A,7
Other Western,2002,H_D,62
Other Western,2002,P_A,18
Other Western,2002,P_D,127
Other Western,2003,A,3
Other Western,2003,D,93
Other Western,2003,H_A,1
Other Western,2003,H_D,44
Other Western,2003,P_A,17
Other Western,2003,P_D,77
Other Western,2004,A,7
Other Western,2004,D,93
Other Western,2004,H_A,1
Other Western,2004,H_D,58
Other Western,2004,P_A,6
Other Western,2004,P_D,104
Other Western,2005,A,3
Other Western,2005,D,108
Other Western,2005,H_A,4
Other Western,2005,H_D,39
Other Western,2005,P_A,6
Other Western,2005,P_D,65
Other Western,2006,A,11
Other Western,2006,D,105
Other Western,2006,H_A,4
Other Western,2006,H_D,46
Other Western,2006,P_A,9
Other Western,2006,P_D,82
Other Western,2007,A,8
Other Western,2007,D,93
Other Western,2007,H_A,2
Other Western,2007,H_D,50
Other Western,2007,P_A,13
Other Western,2007,P_D,54
Other Western,2008,A,6
Other Western,2008,D,89
Other Western,2008,H_A,1
Other Western,2008,H_D,53
Other Western,2008,P_A,8
Other Western,2008,P_D,75
Other Western,2009,A,4
Other Western,2009,D,67
Other Western,2009,H_A,2
Other Western,2009,H_D,51
Other Western,2009,P_A,5
Other Western,2009,P_D,72
Other Western,2010,A,7
Other Western,2010,D,104
Other Western,2010,H_A,5
Other Western,2010,H_D,31
Other Western,2010,P_A,10
Other Western,2010,P_D,74
Other Western,2011,A,8
Other Western,2011,D,102
Other Western,2011,H_A,5
Other Western,2011,H_D,54
Other Western,2011,P_A,7
Other Western,2011,P_D,64
Other Western,2012,A,7
Other Western,2012,D,105
Other Western,2012,H_A,4
Other Western,2012,H_D,56
Other Western,2012,P_A,6
Other Western,2012,P_D,57
Other Western,2013,A,6
Other Western,2013,D,115
Other Western,2013,H_A,6
Other Western,2013,H_D,54
Other Western,2013,P_A,5
Other Western,2013,P_D,62
Other Western,2014,A,13
Other Western,2014,D,126
Other Western,2014,H_A,4
Other Western,2014,H_D,48
Other Western,2014,P_A,6
Other Western,2014,P_D,64
Other Western,2015,A,8
Other Western,2015,D,106
Other Western,2015,H_A,6
Other Western,2015,H_D,76
Other Western,2015,P_A,1
Other Western,2015,P_D,47
Other Western,2016,A,5
Other Western,2016,D,101
Other Western,2016,H_A,5
Other Western,2016,H_D,63
Other Western,2016,P_A,3
Other Western,2016,P_D,58
Sinic,2000,A,67
Sinic,2000,D,1488
Sinic,2000,H_A,25
Sinic,2000,H_D,398
Sinic,2000,P_A,98
Sinic,2000,P_D,2021
Sinic,2001,A,48
Sinic,2001,D,1348
Sinic,2001,H_A,14
Sinic,2001,H_D,285
Sinic,2001,P_A,75
Sinic,2001,P_D,2049
Sinic,2002,A,89
Sinic,2002,D,3650
Sinic,2002,H_A,33
Sinic,2002,H_D,349
Sinic,2002,P_A,163
Sinic,2002,P_D,3818
Sinic,2003,A,62
Sinic,2003,D,2655
Sinic,2003,H_A,20
Sinic,2003,H_D,437
Sinic,2003,P_A,94
Sinic,2003,P_D,3694
Sinic,2004,A,79
Sinic,2004,D,3354
Sinic,2004,H_A,35
Sinic,2004,H_D,535
Sinic,2004,P_A,101
Sinic,2004,P_D,5671
Sinic,2005,A,97
Sinic,2005,D,4505
Sinic,2005,H_A,25
Sinic,2005,H_D,677
Sinic,2005,P_A,142
Sinic,2005,P_D,7206
Sinic,2006,A,123
Sinic,2006,D,5297
Sinic,2006,H_A,34
Sinic,2006,H_D,696
Sinic,2006,P_A,141
Sinic,2006,P_D,8297
Sinic,2007,A,133
Sinic,2007,D,4881
Sinic,2007,H_A,37
Sinic,2007,H_D,805
Sinic,2007,P_A,140
Sinic,2007,P_D,8489
Sinic,2008,A,157
Sinic,2008,D,5917
Sinic,2008,H_A,54
Sinic,2008,H_D,1005
Sinic,2008,P_A,151
Sinic,2008,P_D,8503
Sinic,2009,A,98
Sinic,2009,D,6436
Sinic,2009,H_A,43
Sinic,2009,H_D,947
Sinic,2009,P_A,98
Sinic,2009,P_D,8132
Sinic,2010,A,106
Sinic,2010,D,6808
Sinic,2010,H_A,25
Sinic,2010,H_D,986
Sinic,2010,P_A,104
Sinic,2010,P_D,7730
Sinic,2011,A,108
Sinic,2011,D,5738
Sinic,2011,H_A,40
Sinic,2011,H_D,1001
Sinic,2011,P_A,78
Sinic,2011,P_D,6244
Sinic,2012,A,121
Sinic,2012,D,5627
Sinic,2012,H_A,42
Sinic,2012,H_D,1051
Sinic,2012,P_A,77
Sinic,2012,P_D,4797
Sinic,2013,A,104
Sinic,2013,D,5608
Sinic,2013,H_A,56
Sinic,2013,H_D,1330
Sinic,2013,P_A,98
Sinic,2013,P_D,4325
Sinic,2014,A,143
Sinic,2014,D,5664
Sinic,2014,H_A,71
Sinic,2014,H_D,1424
Sinic,2014,P_A,100
Sinic,2014,P_D,3582
Sinic,2015,A,104
Sinic,2015,D,5094
Sinic,2015,H_A,52
Sinic,2015,H_D,1683
Sinic,2015,P_A,71
Sinic,2015,P_D,2534
Sinic,2016,A,118
Sinic,2016,D,5176
Sinic,2016,H_A,98
Sinic,2016,H_D,2111
Sinic,2016,P_A,63
Sinic,2016,P_D,2357
United States,2000,A,100
United States,2000,D,3195
United States,2000,H_A,129
United States,2000,H_D,2210
United States,2000,P_A,335
United States,2000,P_D,5387
United States,2001,A,45
United States,2001,D,2409
United States,2001,H_A,45
United States,2001,H_D,1631
United States,2001,P_A,145
United States,2001,P_D,3503
United States,2002,A,118
United States,2002,D,5250
United States,2002,H_A,60
United States,2002,H_D,1986
United States,2002,P_A,297
United States,2002,P_D,6405
United States,2003,A,68
United States,2003,D,3367
United States,2003,H_A,32
United States,2003,H_D,1588
United States,2003,P_A,95
United States,2003,P_D,3302
United States,2004,A,58
United States,2004,D,2972
United States,2004,H_A,40
United States,2004,H_D,1541
United States,2004,P_A,75
United States,2004,P_D,2685
United States,2005,A,74
United States,2005,D,3153
United States,2005,H_A,52
United States,2005,H_D,1625
United States,2005,P_A,86
United States,2005,P_D,2898
United States,2006,A,70
United States,2006,D,3232
United States,2006,H_A,43
United States,2006,H_D,1521
United States,2006,P_A,92
United States,2006,P_D,2663
United States,2007,A,64
United States,2007,D,2772
United States,2007,H_A,39
United States,2007,H_D,1569
United States,2007,P_A,80
United States,2007,P_D,2295
United States,2008,A,58
United States,2008,D,2571
United States,2008,H_A,52
United States,2008,H_D,1562
United States,2008,P_A,86
United States,2008,P_D,2172
United States,2009,A,68
United States,2009,D,2689
United States,2009,H_A,47
United States,2009,H_D,1474
United States,2009,P_A,76
United States,2009,P_D,2039
United States,2010,A,60
United States,2010,D,2787
United States,2010,H_A,56
United States,2010,H_D,1468
United States,2010,P_A,57
United States,2010,P_D,2041
United States,2011,A,49
United States,2011,D,2832
United States,2011,H_A,54
United States,2011,H_D,1603
United States,2011,P_A,60
United States,2011,P_D,1998
United States,2012,A,71
United States,2012,D,2796
United States,2012,H_A,42
United States,2012,H_D,1557
United States,2012,P_A,68
United States,2012,P_D,1856
United States,2013,A,90
United States,2013,D,2875
United States,2013,H_A,50
United States,2013,H_D,1575
United States,2013,P_A,66
United States,2013,P_D,1834
United States,2014,A,86
United States,2014,D,3302
United States,2014,H_A,59
United States,2014,H_D,1778
United States,2014,P_A,49
United States,2014,P_D,1811
United States,2015,A,92
United States,2015,D,3318
United States,2015,H_A,55
United States,2015,H_D,1756
United States,2015,P_A,71
United States,2015,P_D,1745
United States,2016,A,87
United States,2016,D,3248
United States,2016,H_A,82
United States,2016,H_D,2210
United States,2016,P_A,59
United States,2016,P_D,1750
