origin_group,year,from,to,count
Hindu,2015,P_D,P_D,3
Hindu,2016,D,D,8
Hindu,2016,H_D,H_D,13
Hindu,2016,H_D,P_D,1
Hindu,2016,P_A,P_A,1
Hindu,2016,P_D,P_D,3
Hindu,2017,D,A,1
Hindu,2017,D,D,6
Hindu,2017,D,H_D,1
Hindu,2017,H_D,H_D,13
Hindu,2017,P_A,P_A,1
Hindu,2017,P_D,P_D,4
Hindu,2018,A,P_A,1
Hindu,2018,D,D,6
Hindu,2018,H_D,H_D,14
Hindu,2018,P_A,P_A,1
Hindu,2018,P_D,P_D,4
Hindu,2019,D,D,6
Hindu,2019,H_D,H_D,14
Hindu,2019,P_A,P_A,2
Hindu,2019,P_D,P_D,4
Hindu,2020,D,D,5
Hindu,2020,D,H_D,1
Hindu,2020,H_D,H_D,12
Hindu,2020,H_D,P_D,2
Hindu,2020,P_A,P_A,2
Hindu,2020,P_D,P_D,4
Hindu,2021,D,D,5
Hindu,2021,H_D,H_D,12
Hindu,2021,H_D,P_D,1
Hindu,2021,P_A,P_A,2
Hindu,2021,P_D,P_D,6
Hindu,2022,D,D,4
Hindu,2022,D,H_D,1
Hindu,2022,H_D,H_D,12
Hindu,2022,P_A,P_A,2
Hindu,2022,P_D,P_D,7
Islamic,2001,D,D,1
Islamic,2002,D,D,1
Islamic,2003,D,H_D,1
Islamic,2004,H_D,H_D,1
Islamic,2005,H_D,H_D,1
Islamic,2006,D,D,1
Islamic,2006,H_D,H_D,1
Islamic,2007,D,D,1
Islamic,2007,H_D,H_D,1
Islamic,2008,A,A,1
Islamic,2008,D,D,1
Islamic,2008,H_D,H_D,2
Islamic,2009,A,A,1
Islamic,2009,D,D,3
Islamic,2009,H_D,H_D,3
Islamic,2010,A,A,1
Islamic,2010,D,D,3
Islamic,2010,H_D,H_D,3
Islamic,2011,A,A,1
Islamic,2011,D,D,3
Islamic,2011,D,H_D,1
Islamic,2011,H_D,H_D,3
Islamic,2012,A,A,1
Islamic,2012,D,D,4
Islamic,2012,H_D,H_D,5
