origin_group,year,from,to,count,stock,prob
Continental Europe,2007,D,D,9,13,0.5757575757575758
Continental Europe,2007,D,H_D,3,13,0.21212121212121213
Continental Europe,2007,H_D,H_D,14,14,0.8285714285714286
Continental Europe,2007,P_D,P_D,2,2,0.45454545454545453
Continental Europe,2008,A,A,1,1,0.3333333333333333
Continental Europe,2008,D,D,10,10,0.7777777777777778
Continental Europe,2008,H_D,H_D,18,18,0.8604651162790697
Continental Europe,2008,P_D,P_D,2,2,0.45454545454545453
Continental Europe,2009,A,A,1,1,0.3333333333333333
Continental Europe,2009,D,D,9,12,0.6129032258064516
Continental Europe,2009,D,H_D,3,12,0.22580645161290322
Continental Europe,2009,H_D,H_D,20,21,0.8367346938775511
Continental Europe,2009,H_D,P_D,1,21,0.061224489795918366
Continental Europe,2009,P_D,P_D,2,2,0.45454545454545453
Continental Europe,2010,A,A,1,1,0.3333333333333333
Continental Europe,2010,D,D,10,10,0.7777777777777778
Continental Europe,2010,H_D,H_D,21,23,0.8113207547169812
Continental Europe,2010,H_D,P_D,2,23,0.09433962264150944
Continental Europe,2010,P_D,P_D,3,3,0.5384615384615384
Continental Europe,2011,A,A,1,1,0.3333333333333333
Continental Europe,2011,D,D,10,13,0.6363636363636364
Continental Europe,2011,D,H_D,3,13,0.21212121212121213
Continental Europe,2011,H_D,H_A,2,21,0.10204081632653061
Continental Europe,2011,H_D,H_D,18,21,0.7551020408163265
Continental Europe,2011,H_D,P_D,1,21,0.061224489795918366
Continental Europe,2011,P_D,P_D,5,5,0.6470588235294118
Continental Europe,2012,A,A,2,2,0.45454545454545453
Continental Europe,2012,D,D,10,11,0.7241379310344828
Continental Europe,2012,D,H_D,1,11,0.10344827586206896
Continental Europe,2012,H_A,H_A,2,2,0.45454545454545453
Continental Europe,2012,H_D,H_D,20,23,0.7735849056603774
Continental Europe,2012,H_D,P_D,3,23,0.1320754716981132
Continental Europe,2012,P_D,P_D,6,6,0.6842105263157895
Continental Europe,2013,A,A,1,2,0.2727272727272727
