group,lever,direction,lever_change_pct,margin_gain,normalised_margin_gain_per_10pct
Sinic,alpha,decrease,-9.999999999999998,1.7286466767475304,1.7286466767475308
Sinic,h_D,increase,10.000000000000009,1.711799470581127,1.7117994705811255
Sinic,alpha,decrease,-5.000000000000004,0.8513368067358442,1.7026736134716869
Sinic,h_D,increase,19.999999999999996,3.222437546131232,1.6112187730656164
Sinic,h_A,increase,5.000000000000004,0.1334015081583857,0.26680301631677117
Sinic,h_A,increase,10.000000000000009,0.25749569311824416,0.25749569311824394
Sinic,h_A,increase,19.999999999999996,0.4814040718367778,0.24070203591838896
Sinic,p_D,increase,5.000000000000004,0.07589943398943433,0.15179886797886852
Sinic,p_D,increase,10.000000000000009,0.14493621203996554,0.1449362120399654
Sinic,p_D,increase,19.999999999999996,0.26583600535309415,0.1329180026765471
Sinic,p_A,increase,5.000000000000004,0.006846061548685611,0.01369212309737121
Sinic,p_A,increase,10.000000000000009,0.013300269997216674,0.013300269997216662
Sinic,p_A,increase,19.999999999999996,0.02516051630163929,0.012580258150819649
Sinic,p_A,decrease,-5.000000000000004,-0.007274629138464661,-0.01454925827692931
Sinic,p_A,decrease,-9.999999999999998,-0.015019395775425437,-0.01501939577542544
Sinic,p_D,decrease,-5.000000000000004,-0.08383885383068446,-0.16767770766136877
Sinic,p_D,decrease,-9.999999999999998,-0.17693168303503626,-0.17693168303503629
Sinic,h_A,decrease,-5.000000000000004,-0.143796725565835,-0.28759345113166973
Sinic,h_A,decrease,-9.999999999999998,-0.29925309817508605,-0.2992530981750861
Sinic,alpha,increase,19.999999999999996,-3.1673953844485823,-1.5836976922242916
Sinic,alpha,increase,10.000000000000009,-1.6292354315078228,-1.6292354315078212
Sinic,alpha,increase,5.000000000000004,-0.826500291555476,-1.6530005831109504
Sinic,h_D,decrease,-5.000000000000004,-0.9443276931131095,-1.8886553862262172
Sinic,h_D,decrease,-9.999999999999998,-1.9560203952114534,-1.9560203952114539
Sinic,beta,decrease,-5.000000000000004,-1.1141918337498282,-2.2283836674996547
Sinic,beta,decrease,-9.999999999999998,-2.3445520586210478,-2.344552058621048
Sinic,d,increase,19.999999999999996,-215.51939875558492,-107.75969937779249
Sinic,d,increase,10.000000000000009,-117.5349674550713,-117.5349674550712
Sinic,d,increase,5.000000000000004,-61.56050954812645,-123.12101909625278
United States,d,decrease,-9.999999999999998,69.67002991050242,69.67002991050244
United States,d,decrease,-5.000000000000004,32.99577011850488,65.9915402370097
United States,alpha,decrease,-9.999999999999998,3.1087061909081513,3.108706190908152
United States,alpha,decrease,-5.000000000000004,1.5358000794664122,3.0716001589328217
United States,h_D,increase,5.000000000000004,1.5230246731628085,3.0460493463256144
United States,h_D,increase,10.000000000000009,2.9432864429837764,2.9432864429837737
United States,beta,increase,5.000000000000004,1.4436038578897978,2.887207715779593
United States,beta,increase,10.000000000000009,2.786620087388542,2.786620087388539
United States,h_D,increase,19.999999999999996,5.514516510952262,2.7572582554761316
United States,beta,increase,19.999999999999996,5.210084860130451,2.6050424300652257
United States,p_D,increase,5.000000000000004,0.16507043767762752,0.33014087535525477
United States,p_D,increase,10.000000000000009,0.31527558078323636,0.3152755807832361
United States,p_D,increase,19.999999999999996,0.5784585012917205,0.2892292506458603
United States,h_A,increase,5.000000000000004,0.041086964398800774,0.08217392879760148
United States,h_A,increase,10.000000000000009,0.07873889812390189,0.07873889812390182
United States,h_A,increase,19.999999999999996,0.1453278715248416,0.07266393576242082
United States,p_A,increase,5.000000000000004,0.006951005645760233,0.013902011291520454
United States,p_A,increase,10.000000000000009,0.013399930186665188,0.013399930186665176
United States,p_A,increase,19.999999999999996,0.024994419341055618,0.012497209670527813
United States,p_A,decrease,-5.000000000000004,-0.0075141123996900205,-0.015028224799380027
United States,p_A,decrease,-9.999999999999998,-0.01566265221458707,-0.015662652214587073
United States,h_A,decrease,-5.000000000000004,-0.04501451335920592,-0.09002902671841176
United States,h_A,decrease,-9.999999999999998,-0.09454801350443631,-0.09454801350443634
United States,p_D,decrease,-5.000000000000004,-0.1822573728294401,-0.36451474565887987
United States,p_D,decrease,-9.999999999999998,-0.38453332272354146,-0.38453332272354157
United States,alpha,increase,19.999999999999996,-5.7971978758743035,-2.898598937937152
United States,alpha,increase,10.000000000000009,-2.9654089581979406,-2.965408958197938
United States,alpha,increase,5.000000000000004,-1.499990686622482,-2.999981373244961
United States,beta,decrease,-5.000000000000004,-1.5558876410262883,-3.111775282052574
United States,beta,decrease,-9.999999999999998,-3.237639860130912,-3.237639860130913
United States,h_D,decrease,-5.000000000000004,-1.63736893224484,-3.2747378644896767
United States,h_D,decrease,-9.999999999999998,-3.402473456114876,-3.402473456114877
United States,d,increase,19.999999999999996,-104.42956381060935,-52.21478190530469
United States,d,increase,10.000000000000009,-56.970363027040776,-56.970363027040726
United States,d,increase,5.000000000000004,-29.844856507675672,-59.689713015351295
