Combo,Size,S_n,T_n,S_pct,T_pct,P_uni,aOR,CI_lo,CI_hi,P_adj,Model
A+C+E+F,4,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
A+D+E+F,4,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
B+C+D+E,4,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
B+C+D+F,4,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
B+C+E+F,4,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
B+D+E+F,4,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9233779866569564,0.6738447192933603,1.2653165956940007,0.6199339358063756,full
C+D+E+F,4,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
A+B+C+D+E,5,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
A+B+C+D+F,5,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
A+B+C+E+F,5,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
A+B+D+E+F,5,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
A+C+D+E+F,5,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
B+C+D+E+F,5,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
A+B+C+D+E+F,6,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
